code,Date,week,context_design,form,kind,file_number,context,post_content,imageURL,URL
202308,20230831,週四,攝影,照片,外在活動與動作,153,客家例句：阿姆在校門口等𠊎放學。、華語翻譯：媽媽在校門口等我放學。,【四縣腔－外在活動與動作－153】阿姆在校門口等𠊎放學。【a′ me′ cai gau‵munˇ heu‵den‵ngaiˇbiong hog】放學了，媽媽在校門口等我！那一刻，我感受到無盡的溫暖與依戀～謝謝成長中的每一刻都有媽媽的陪伴！學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0831-153.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/0831-153.mp4
202308,20230830,週三,填空,圖文,中元節,152,普渡的客語是？七月半愛_____燒銀紙分好兄弟。中元節要普渡燒銀紙給好兄弟。,【四縣腔－心理活動與感覺－152】?pu′ tu?這是什麼意思？要怎麼寫呢？七月半愛普渡燒銀紙分好兄弟。【qid‵ ngied ban oi pu′ tu seu′ngiunˇ zii‵bun′ ho‵hiung′ ti】學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0830-152.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/152.m4a
202308,20230829,週二,圖文,圖文,人體與醫療,151,客家單字：睡毋落覺、客家音標：shoi+ m log‵gauˇ、客家例句：老人家較會睡毋落覺。、華語翻譯：老人家常常會睡不著覺。,【海陸腔－人體與醫療－151】老人家較會睡毋落覺。【lo′ ngin ga‵haˇvoi+　shoi+ m log‵gauˇ】晚上老人家不容易入睡，翻來覆去?轉難眠，想家人、想過去．．．心裡滿是牽掛！學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0829-151.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/0829-151.mp4
202308,20230828,週一,諺語／填空,圖文,諺語老古人言/社會關係與行為,150,客家例句：毋聲就毋聲，開聲打爛盎。、華語翻譯：不鳴則已，一鳴驚人。比喻人平時沒有特殊表現，一旦施展才華，即有非凡的成果。,【四縣腔－諺語老古人言－150】毋聲就毋聲，開聲打爛盎。【mˇ sang′ qiu mˇ sang′ ， koi′ sang′ da‵ lan ang′】不鳴則已，一鳴驚人。比喻人平時沒有特殊表現，一旦施展才華，即有非凡的成果。學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0828-150.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/150.m4a
202308,20230827,週日,圖文,圖文,居家生活,149,客家單字：汽水、客家音標：hi sui‵ 、客家例句：啉汽水會緊打噎。、華語翻譯：喝汽水會一直打嗝。,【四縣腔－居家生活－149】啉汽水會緊打噎。【lim′hi sui‵voi  gin‵ da‵ ed】迷人汽水，一口，兩口，轉換心情！開懷暢飲，一杯，兩杯，嗝聲連連！學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0827-149.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/149.m4a
202308,20230826,週六,攝影,照片,抽象概念與形容,148,客家例句：這條路當闊。、華語翻譯：這條路很寬。,【四縣腔－抽象概念與形容－148】這條路當闊。【ia‵tiauˇlu dong′fad‵】在寬廣道路上，視野寬闊明亮，微風輕輕地吹，感受十分愜意！學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0826-148.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/0826-148.mp4
202308,20230825,週五,圖文,圖文,事物狀態與變化,147,客家單字：漏、客家音標：leu、客家例句：水龍頭緊漏水。、華語翻譯：水龍頭一直漏水。,【四縣腔－事物狀態與變化－147】水龍頭緊漏水。【sui‵ liungˇ teuˇgin‵ leu sui‵】節約水資源，從小地方開始！使用節水設備、定期檢查用水設施、修理漏水、精打細算用水。讓我們一起行動，珍惜每一滴水，用心守護，為地球盡一份心力！學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0825-147.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/147.m4a
202308,20230824,週四,攝影,照片,外在活動與動作,146,客家例句：擲球仔。、華語翻譯：丟球。,【四縣腔－外在活動與動作－146】擲球仔。【deb kiuˇe‵】「丟球」讓每個瞬間都煥發活力！投出勇氣，揮灑活力，點燃熱情～在球賽中，我們超越自我，締造精彩！不論結果如何，我們挑戰了自我，勇往直前！學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0824-146.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/146.m4a
202308,20230823,週三,填空,圖文,心理活動與感覺,145,輕鬆的客語是？佢摎𠊎捶背囊，分𠊎放______。他幫我捶背，讓我放輕鬆。,【四縣腔－心理活動與感覺－145】kiang′ sung′這是什麼意思？要怎麼寫呢？佢摎𠊎捶背囊，分𠊎放輕鬆。【giˇ lau′ngaiˇcuiˇ boi nongˇ，bun′ ngaiˇbiong kiang′ sung′】學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0823-145.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/145.m4a
202308,20230822,週二,圖文,圖文,七夕情人節,144,客家單字：約會、客家音標：iog‵ fi、客家例句：暗晡夜愛去約會！、華語翻譯：今天晚上要去約會！,【四縣腔－七夕情人節－144】暗晡夜愛去約會！【am bu′ ia oi hi iog‵ fi】哈編的七夕情人節～即將在今晚的約會甜蜜開場啦！不論是星空下牽手漫步，亦或是共賞浪漫煙火～能在特別的日子裡，與心愛的人共度美好時光，就是最大的幸福啦～～～祝大家七夕情人節幸福滿載唷～學習更多客語：哈客網路學院；哈客網路學院；每日一客語；逐日一客語；客家委員會；客家話好簡單；hahkka；hakkalanguage,https://elearning.hakka.gov.tw/base/10001/door//%E5%BB%A3%E5%91%8A%E8%BC%AA%E6%92%AD%E5%8D%80/112-0822-144.jpg,https://elearning.hakka.gov.tw/base/10001/door//2023.08/144.m4a
